epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.5918912291526794,0.9639855027198792,0.6783692240715027,0.8079589009284973,0.0010000000474974513
1,0.695557177066803,0.6555100083351135,0.7655718922615051,0.6258606314659119,0.0010000000474974513
2,0.7300315499305725,0.5862270593643188,0.7938844561576843,0.5743610262870789,0.0010000000474974513
3,0.7455692887306213,0.5330876708030701,0.7916194796562195,0.5676673054695129,0.0010000000474974513
4,0.7659626007080078,0.49867019057273865,0.8006795048713684,0.5536989569664001,0.0010000000474974513
5,0.7494537234306335,0.5223580598831177,0.8120045065879822,0.531475841999054,0.0010000000474974513
6,0.7620781660079956,0.4809147119522095,0.8233295679092407,0.5162082314491272,0.0010000000474974513
7,0.7659626007080078,0.4871806502342224,0.7972819805145264,0.5337370038032532,0.0010000000474974513
8,0.7666909694671631,0.4788818359375,0.8154020309448242,0.5237792134284973,0.0010000000474974513
9,0.76984703540802,0.47924554347991943,0.7757644653320312,0.5612471103668213,0.0010000000474974513
10,0.7754309177398682,0.45169302821159363,0.8210645318031311,0.5089713931083679,0.0005000000237487257
11,0.7834425568580627,0.4495232403278351,0.8154020309448242,0.5151311159133911,0.0005000000237487257
12,0.7853847742080688,0.4313310980796814,0.7972819805145264,0.5367615818977356,0.0005000000237487257
13,0.7759164571762085,0.46556591987609863,0.8199320435523987,0.5066321492195129,9.999999747378752e-06
14,0.7827142477035522,0.45022767782211304,0.8221970796585083,0.509608805179596,9.999999747378752e-06
15,0.794610321521759,0.4152796268463135,0.8255945444107056,0.4869110584259033,9.999999747378752e-06
16,0.7929108738899231,0.4200271964073181,0.8323895931243896,0.4715295732021332,9.999999747378752e-06
17,0.7929108738899231,0.43323078751564026,0.8357871174812317,0.45140540599823,9.999999747378752e-06
18,0.8069919943809509,0.3950529992580414,0.8312571048736572,0.4686233103275299,9.999999747378752e-06
19,0.8048070073127747,0.3929251432418823,0.8289920687675476,0.45630303025245667,9.999999747378752e-06
20,0.8018936514854431,0.3894003629684448,0.8357871174812317,0.45374688506126404,9.999999747378752e-06
21,0.8033503293991089,0.3916858434677124,0.8369196057319641,0.44715070724487305,9.999999747378752e-06
22,0.8062636852264404,0.3724381625652313,0.8278595805168152,0.44212526082992554,9.999999747378752e-06
23,0.8077203035354614,0.3720586597919464,0.8380520939826965,0.43285873532295227,9.999999747378752e-06
24,0.8133041858673096,0.3581569790840149,0.839184582233429,0.4268987774848938,9.999999747378752e-06
25,0.8176742196083069,0.3705451488494873,0.8380520939826965,0.42368456721305847,9.999999747378752e-06
26,0.8150036334991455,0.35385391116142273,0.842582106590271,0.4159409999847412,9.999999747378752e-06
27,0.814275324344635,0.3590147793292999,0.8414496183395386,0.39821192622184753,9.999999747378752e-06
28,0.8188880681991577,0.34660986065864563,0.8403171300888062,0.41283154487609863,9.999999747378752e-06
29,0.8261713981628418,0.3373200595378876,0.842582106590271,0.4229855537414551,9.999999747378752e-06
30,0.823258101940155,0.34166425466537476,0.8471121191978455,0.4086475074291229,9.999999747378752e-06
31,0.8235008716583252,0.339078813791275,0.8437145948410034,0.4029063582420349,9.999999747378752e-06
32,0.8356397151947021,0.3267843425273895,0.8437145948410034,0.40035539865493774,4.999999873689376e-06
33,0.830055832862854,0.32044661045074463,0.842582106590271,0.40575915575027466,4.999999873689376e-06
34,0.8298130631446838,0.3236687481403351,0.8448470830917358,0.3963865637779236,4.999999873689376e-06
35,0.8324835896492004,0.3249821066856384,0.8471121191978455,0.40535300970077515,4.999999873689376e-06
36,0.8324835896492004,0.329194039106369,0.842582106590271,0.3969021439552307,4.999999873689376e-06
37,0.8373391628265381,0.30637574195861816,0.8437145948410034,0.3958378732204437,4.999999873689376e-06
38,0.8375819325447083,0.31932157278060913,0.8448470830917358,0.390371173620224,4.999999873689376e-06
