epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5918912291526794,0.0010000000474974513,0.9639855027198792,0.6783692240715027,0.8079589009284973
1,0.695557177066803,0.0010000000474974513,0.6555100083351135,0.7655718922615051,0.6258606314659119
2,0.7300315499305725,0.0010000000474974513,0.5862270593643188,0.7938844561576843,0.5743610262870789
3,0.7455692887306213,0.0010000000474974513,0.5330876708030701,0.7916194796562195,0.5676673054695129
4,0.7659626007080078,0.0010000000474974513,0.49867019057273865,0.8006795048713684,0.5536989569664001
5,0.7494537234306335,0.0010000000474974513,0.5223580598831177,0.8120045065879822,0.531475841999054
6,0.7620781660079956,0.0010000000474974513,0.4809147119522095,0.8233295679092407,0.5162082314491272
7,0.7659626007080078,0.0010000000474974513,0.4871806502342224,0.7972819805145264,0.5337370038032532
8,0.7666909694671631,0.0010000000474974513,0.4788818359375,0.8154020309448242,0.5237792134284973
9,0.76984703540802,0.0010000000474974513,0.47924554347991943,0.7757644653320312,0.5612471103668213
10,0.7754309177398682,0.0005000000237487257,0.45169302821159363,0.8210645318031311,0.5089713931083679
11,0.7834425568580627,0.0005000000237487257,0.4495232403278351,0.8154020309448242,0.5151311159133911
12,0.7853847742080688,0.0005000000237487257,0.4313310980796814,0.7972819805145264,0.5367615818977356
