epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7759164571762085,9.999999747378752e-06,0.46556591987609863,0.8199320435523987,0.5066321492195129
1,0.7827142477035522,9.999999747378752e-06,0.45022767782211304,0.8221970796585083,0.509608805179596
2,0.794610321521759,9.999999747378752e-06,0.4152796268463135,0.8255945444107056,0.4869110584259033
3,0.7929108738899231,9.999999747378752e-06,0.4200271964073181,0.8323895931243896,0.4715295732021332
4,0.7929108738899231,9.999999747378752e-06,0.43323078751564026,0.8357871174812317,0.45140540599823
5,0.8069919943809509,9.999999747378752e-06,0.3950529992580414,0.8312571048736572,0.4686233103275299
6,0.8048070073127747,9.999999747378752e-06,0.3929251432418823,0.8289920687675476,0.45630303025245667
7,0.8018936514854431,9.999999747378752e-06,0.3894003629684448,0.8357871174812317,0.45374688506126404
8,0.8033503293991089,9.999999747378752e-06,0.3916858434677124,0.8369196057319641,0.44715070724487305
9,0.8062636852264404,9.999999747378752e-06,0.3724381625652313,0.8278595805168152,0.44212526082992554
10,0.8077203035354614,9.999999747378752e-06,0.3720586597919464,0.8380520939826965,0.43285873532295227
11,0.8133041858673096,9.999999747378752e-06,0.3581569790840149,0.839184582233429,0.4268987774848938
12,0.8176742196083069,9.999999747378752e-06,0.3705451488494873,0.8380520939826965,0.42368456721305847
13,0.8150036334991455,9.999999747378752e-06,0.35385391116142273,0.842582106590271,0.4159409999847412
14,0.814275324344635,9.999999747378752e-06,0.3590147793292999,0.8414496183395386,0.39821192622184753
15,0.8188880681991577,9.999999747378752e-06,0.34660986065864563,0.8403171300888062,0.41283154487609863
16,0.8261713981628418,9.999999747378752e-06,0.3373200595378876,0.842582106590271,0.4229855537414551
17,0.823258101940155,9.999999747378752e-06,0.34166425466537476,0.8471121191978455,0.4086475074291229
18,0.8235008716583252,9.999999747378752e-06,0.339078813791275,0.8437145948410034,0.4029063582420349
19,0.8356397151947021,4.999999873689376e-06,0.3267843425273895,0.8437145948410034,0.40035539865493774
20,0.830055832862854,4.999999873689376e-06,0.32044661045074463,0.842582106590271,0.40575915575027466
21,0.8298130631446838,4.999999873689376e-06,0.3236687481403351,0.8448470830917358,0.3963865637779236
22,0.8324835896492004,4.999999873689376e-06,0.3249821066856384,0.8471121191978455,0.40535300970077515
23,0.8324835896492004,4.999999873689376e-06,0.329194039106369,0.842582106590271,0.3969021439552307
24,0.8373391628265381,4.999999873689376e-06,0.30637574195861816,0.8437145948410034,0.3958378732204437
25,0.8375819325447083,4.999999873689376e-06,0.31932157278060913,0.8448470830917358,0.390371173620224
